Watchlist 'Top10 Net Gain NYSE'

Top10 Net Gain NYSE
Description|Symbol|%Change|EPS|PE|Volume|Market Cap|Shares|Net Chng|52Low|Low|Last|Close|Open|High|52High|Bid|Ask|RSI|Div. Payout Per Share (% of EPS) - Current|Open.Int
NVR INC COM|NVR|0.00%|203.1|16.47|0|"12|014 M"|"3|592|076"|0|2040.71|0|3344.65|3344.65|0|0|3335.23|3318.88|3425.54|69.64|0|0
METTLER-TOLEDO INTL INC COM|MTD|0.00%|20.72|35.95|0|"18|478 M"|"24|803|286"|0|500.74|0|744.98|744.98|0|0|762.90|744.60|744.61|55.01|0|0
WHITE MOUNTNS INSU COM|WTM|0.00%|60.7|16.03|0|"3|056 M"|"3|139|704"|0|832.8766|0|973.31|973.31|0|0|993.70|878.00|1160.00|64.0|.68734|0
MARKEL CORP COM|MKL|0.00%|37.46|28.3|0|"14|680 M"|"13|845|763"|0|950.16|0|1060.23|1060.23|0|0|1228.32|998.57|1150.00|63.11|0|0
TRANSDIGM GROUP INC COM|TDG|0.00%|14.67|31.71|0|"24|736 M"|"53|179|914"|0|307.36|0|465.14|465.14|0|0|489.95|90.95|530.00|48.66|0|0
ALLEGHANY CORP COM|Y|0.00%|21.87|31.51|0|"9|954 M"|"14|442|366"|0|558.501|0|689.19|689.19|0|0|679.115|600.00|689.22|71.56|0|0
NORTHROP GRUMMAN CORP COM|NOC|0.00%|18.76|16.24|0|"51|740 M"|"169|799|680"|0|223.6301|0|304.71|304.71|0|0|340.14|302.10|306.46|67.2|26.093|0
MONGODB INC COM CL A|MDB|0.00%|-1.9|-77.29|0|"8|076 M"|"54|991|497"|0|41.94|0|146.86|146.86|0|0|154.80|146.18|147.50|61.22|0|0
PENUMBRA INC COM|PEN|0.00%|.33|434.6|0|"4|982 M"|"34|737|497"|0|110.84|0|143.41|143.41|0|0|167.35|115.00|143.48|59.03|0|0
IAC INTERACTIVECORP COM|IAC|0.00%|6.79|35.03|0|"20|001 M"|"84|098|162"|0|144.51|0|237.83|237.83|0|0|242.86|181.69|295.77|64.26|0|0
