Watchlist 'Top10 Net Gain NASDAQ'

Top10 Net Gain NASDAQ
Description|Symbol|%Change|EPS|PE|Volume|Market Cap|Shares|Net Chng|52Low|Low|Last|Close|Open|High|52High|Bid|Ask|RSI|Div. Payout Per Share (% of EPS) - Current|Open.Int
AMAZON COM INC COM|AMZN|0.00%|23.96|79.61|0|"939|157 M"|"492|331|780"|0|1307.00|0|1907.57|1907.57|0|0|2050.50|1906.37|1907.50|55.5|0|0
MERCADOLIBRE INC COM|MELI|0.00%|-.4|-1489|0|"29|381 M"|"49|318|513"|0|257.52|0|595.73|595.73|0|0|589.5643|590.01|688.98|69.26|<empty>|0
NETEASE INC ADR SPONSORED|NTES|0.00%|47.25|5.907|0|"35|715 M"|"127|960|736"|0|184.60|0|279.11|279.11|0|0|289.685|279.11|282.00|58.35|22.052|0
CABLE ONE INC COM|CABO|0.00%|28.47|39.61|0|"6|428 M"|"5|699|603"|0|640.40|0|1127.78|1127.78|0|0|1120.34|.10|1127.50|76.94|26.065|0
ALPHABET INC COM CL C|GOOG|0.00%|39.87|29.57|0|"818|500 M"|"694|243|820"|0|970.11|0|1178.98|1178.98|0|0|1289.27|1178.78|1181.63|48.3|0|0
CREDIT ACCEPTANCE CORPORATION COM|CACC|0.00%|31.87|14.96|0|"8|960 M"|"18|797|045"|0|347.501|0|476.66|476.66|0|0|509.99|474.82|479.30|50.26|0|0
BOOKING HOLDINGS INC COM|BKNG|0.00%|87.77|20.55|0|"78|068 M"|"43|291|345"|0|1606.2701|0|1803.31|1803.31|0|0|2162.91|1799.03|1810.00|49.53|0|0
SHOPIFY INC COM CL A|SHOP|0.00%|-.67|-414.9|0|"31|022 M"|"111|584|277"|0|117.64|0|278.01|278.01|0|0|266.72|278.00|278.50|76.41|<empty>|0
NICE LTD ADR SPONSORED|NICE|0.00%|2.52|57.1|0|"8|955 M"|"62|229|392"|0|100.54|0|143.90|143.90|0|0|140.29|143.00|144.50|72.65|32.661|0
HUBSPOT INC COM|HUBS|0.00%|-1.52|-125.4|0|"8|024 M"|"42|103|120"|0|108.39|0|190.57|190.57|0|0|186.965|186.00|193.00|65.14|0|0
