1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|
Description|EX|Date|Symbol|%Change|EPS|PE|Volume|Market Cap|Shares|Net Chng|52Low|Low|Last|Close|Open|High|52High|Bid|Ask|RSI|Div. Payout Per Share (% of EPS) - Current|Open.Int|
NVR INC COM|Top10 Net Gain NYSE|2019-05-17|NVR|0.00%|203.1|16.47|0|12,014 M|3,592,076|0|2040.71|0|3344.65|3344.65|0|0|3335.23|3318.88|3425.54|69.64|0|0|
METTLER-TOLEDO INTL INC COM|Top10 Net Gain NYSE|2019-05-17|MTD|0.00%|20.72|35.95|0|18,478 M|24,803,286|0|500.74|0|744.98|744.98|0|0|762.90|744.60|744.61|55.01|0|0|
WHITE MOUNTNS INSU COM|Top10 Net Gain NYSE|2019-05-17|WTM|0.00%|60.7|16.03|0|3,056 M|3,139,704|0|832.8766|0|973.31|973.31|0|0|993.70|878.00|1160.00|64.0|.68734|0|
MARKEL CORP COM|Top10 Net Gain NYSE|2019-05-17|MKL|0.00%|37.46|28.3|0|14,680 M|13,845,763|0|950.16|0|1060.23|1060.23|0|0|1228.32|998.57|1150.00|63.11|0|0|
TRANSDIGM GROUP INC COM|Top10 Net Gain NYSE|2019-05-17|TDG|0.00%|14.67|31.71|0|24,736 M|53,179,914|0|307.36|0|465.14|465.14|0|0|489.95|90.95|530.00|48.66|0|0|
ALLEGHANY CORP COM|Top10 Net Gain NYSE|2019-05-17|Y|0.00%|21.87|31.51|0|9,954 M|14,442,366|0|558.501|0|689.19|689.19|0|0|679.115|600.00|689.22|71.56|0|0|
NORTHROP GRUMMAN CORP COM|Top10 Net Gain NYSE|2019-05-17|NOC|0.00%|18.76|16.24|0|51,740 M|169,799,680|0|223.6301|0|304.71|304.71|0|0|340.14|302.10|306.46|67.2|26.093|0|
MONGODB INC COM CL A|Top10 Net Gain NYSE|2019-05-17|MDB|0.00%|-1.9|-77.29|0|8,076 M|54,991,497|0|41.94|0|146.86|146.86|0|0|154.80|146.18|147.50|61.22|0|0|
PENUMBRA INC COM|Top10 Net Gain NYSE|2019-05-17|PEN|0.00%|.33|434.6|0|4,982 M|34,737,497|0|110.84|0|143.41|143.41|0|0|167.35|115.00|143.48|59.03|0|0|
IAC INTERACTIVECORP COM|Top10 Net Gain NYSE|2019-05-17|IAC|0.00%|6.79|35.03|0|20,001 M|84,098,162|0|144.51|0|237.83|237.83|0|0|242.86|181.69|295.77|64.26|0|0|
NOKIA OYJ ADR SPONSORED|Top10 Active NYSE|watchlistt|NOK|0.00%|-0.11|-45.09|0|27,770 M|5,598,710,000|0|4.71|0|4.96|4.96|0|0|6.65|4.97|5.01|32.61|<empty>|0|
ADVANCED MICRO DEVICES INC COM|Top10 Active NYSE|watchlistt|AMD|0.00%|0.25|112|0|30,296 M|1,081,600,720|0|12.71|0|28.01|28.01|0|0|34.14|28.19|28.19|54.54|0|0|
GENERAL ELECTRIC CO COM|Top10 Active NYSE|watchlistt|GE|0.00%|-2.08|-4.87|0|88,342 M|8,720,808,000|0|6.401932|0|10.13|10.13|0|0|14.985903|10.13|10.15|54.33|90.242|0|
CHESAPEAKE ENERGY CORP COM|Top10 Active NYSE|watchlistt|CHK|0.00%|0.83|3.048|0|4,133 M|1,633,677,800|0|1.71|0|2.53|2.53|0|0|5.6|2.52|2.55|38.18|0|0|
BANK OF AMERICA CORPORATION COM|Top10 Active NYSE|watchlistt|BAC|0.00%|2.69|10.63|0|271,840 M|9,508,203,200|0|22.66|0|28.59|28.59|0|0|31.91|28.59|28.63|39.57|20.707|0|
FORD MOTOR CO COM|Top10 Active NYSE|watchlistt|F|0.00%|0.78|13.33|0|41,491 M|3,989,545,900|0|7.41|0|10.4|10.4|0|0|12.15|10.36|10.38|63.55|67.548|0|
MICRON TECHNOLOGY INC COM|Top10 Active NYSE|watchlistt|MU|0.00%|10.89|3.426|0|41,290 M|1,106,687,010|0|28.39|0|37.31|37.31|0|0|64.66|37.51|37.55|32.19|0|0|
PFIZER INC COM|Top10 Active NYSE|watchlistt|PFE|0.00%|1.96|21.24|0|231,515 M|5,559,929,200|0|35.32|0|41.64|41.64|0|0|46.47|41.55|41.75|56.8|78.493|0|
SPRINT CORPORATION COM|Top10 Active NYSE|watchlistt|S|0.00%|-0.48|-12.67|0|24,796 M|4,078,316,800|0|5.04|0|6.08|6.08|0|0|6.61|6.07|6.2|57.21|0|0|
AT&T INC COM|Top10 Active NYSE|watchlistt|T|0.00%|2.66|11.89|0|230,763 M|7,298,000,000|0|26.8|0|31.62|31.62|0|0|34.53|31.62|31.7|59.03|73.269|0|
AMAZON COM INC COM|Top10 Net Gain NASDAQ|watchlistt|AMZN|0.00%|23.96|79.61|0|939,157 M|492,331,780|0|1307.00|0|1907.57|1907.57|0|0|2050.50|1906.37|1907.50|55.5|0|0|
MERCADOLIBRE INC COM|Top10 Net Gain NASDAQ|watchlistt|MELI|0.00%|-.4|-1489|0|29,381 M|49,318,513|0|257.52|0|595.73|595.73|0|0|589.5643|590.01|688.98|69.26|<empty>|0|
NETEASE INC ADR SPONSORED|Top10 Net Gain NASDAQ|watchlistt|NTES|0.00%|47.25|5.907|0|35,715 M|127,960,736|0|184.60|0|279.11|279.11|0|0|289.685|279.11|282.00|58.35|22.052|0|
CABLE ONE INC COM|Top10 Net Gain NASDAQ|watchlistt|CABO|0.00%|28.47|39.61|0|6,428 M|5,699,603|0|640.40|0|1127.78|1127.78|0|0|1120.34|.10|1127.50|76.94|26.065|0|
ALPHABET INC COM CL C|Top10 Net Gain NASDAQ|watchlistt|GOOG|0.00%|39.87|29.57|0|818,500 M|694,243,820|0|970.11|0|1178.98|1178.98|0|0|1289.27|1178.78|1181.63|48.3|0|0|
CREDIT ACCEPTANCE CORPORATION COM|Top10 Net Gain NASDAQ|watchlistt|CACC|0.00%|31.87|14.96|0|8,960 M|18,797,045|0|347.501|0|476.66|476.66|0|0|509.99|474.82|479.30|50.26|0|0|
BOOKING HOLDINGS INC COM|Top10 Net Gain NASDAQ|watchlistt|BKNG|0.00%|87.77|20.55|0|78,068 M|43,291,345|0|1606.2701|0|1803.31|1803.31|0|0|2162.91|1799.03|1810.00|49.53|0|0|
SHOPIFY INC COM CL A|Top10 Net Gain NASDAQ|watchlistt|SHOP|0.00%|-.67|-414.9|0|31,022 M|111,584,277|0|117.64|0|278.01|278.01|0|0|266.72|278.00|278.50|76.41|<empty>|0|
NICE LTD ADR SPONSORED|Top10 Net Gain NASDAQ|watchlistt|NICE|0.00%|2.52|57.1|0|8,955 M|62,229,392|0|100.54|0|143.90|143.90|0|0|140.29|143.00|144.50|72.65|32.661|0|
HUBSPOT INC COM|Top10 Net Gain NASDAQ|watchlistt|HUBS|0.00%|-1.52|-125.4|0|8,024 M|42,103,120|0|108.39|0|190.57|190.57|0|0|186.965|186.00|193.00|65.14|0|0|
